,Tweets
46,"['think', 'likely', 'took', 'advantage', 'agitated', 'instigated', 'violence', 'ex', 'ray', 'epps', 'amp', 'get', 'involved', 'undercover', 'absolutely']"
47,"['ek', 'banda', 'bola', 'aap', 'threat', 'us', 'bjp', 'direct', 'competition', 'ek', 'bola', 'aap', 'toh', 'khatam', 'hogayi', 'hai', 'tukke', 'se', 'jeet', 'rhe']"
48,"['herschel', 'walker', 'supports', 'total', 'abortion', 'ban', 'exceptions', 'rape', 'incest', 'threat', 'mother', 'life']"
49,"['herrscher', 'know', 'much', 'crows', 'managed', 'obtain', 'information', 'one', 'thing', 'certain', 'need', 'deal', 'potential', 'threat', 'enemy', 'humanity']"
50,"['exactly', 'let', 'stop', 'pretending', 'hate', 'ignorance', 'violence', 'legitimate', 'positions', 'respected', 'entertained']"
51,"['_ga', 'physically', 'impossible', 'remain', 'maga', 'means', 'suppothe', 'violence', 'towards', 'law', 'enforcement', 'january', 'th', 'opinion', 'fact', 'reality']"
52,"['calling', 'indifference', 'violence', 'cowardice', 'good', 'sign', 'running', 'argument', 'sides', 'guilty', 'engaging', 'rhetoric', 'spicy']"
53,"['oh', 'god', 'abigail', 'disney', 'grandniece', 'walt', 'disney', 'executive', 'director', 'jihad', 'rehab', 'called']"
54,"['words', 'like', 'violence', 'break', 'silence', 'come', 'crashing', 'little', 'world', 'painful', 'pierce', 'right', 'understand', 'oh', 'little', 'girl']"
55,"['_rp', 'kid', 'ran', 'days', 'biden', 'hitler', 'speech', 'calling', 'trump', 'supporters', 'extremist', 'days', 'killed', 'biden', 'called', 'stop', 'trump', 'supporters', 'extremist']"
56,"['_aho', 'much', 'speculation', 'whether', 'russia', 'might', 'use', 'nuclear', 'weapons', 'threat', 'taken', 'seriously']"
57,"['bursted', 'big', 'time', 'ranting', 'amount', 'threat', 'blackmail', 'stop', 'make', 'chick']"
58,"['anjem', 'choudary', 'jailed', 'sept', 'years', 'months', 'terrorism', 'charges', 'ban', 'public', 'speaking', 'amp', 'us']"
59,"['buhari', 'posed', 'threat', 'knew', 'man', 'spent', 'already', 'scarecrow', 'former', 'self']"
60,"['g', 'getting', 'hot', 'three', 'level', 'scoring', 'threat', 'gets', 'spots', 'pretty', 'release']"
61,"['open', 'threat', 'mean', 'come', 'pakistan']"
62,"['struggled', 'leaving', 'argument', 'calling', 'gop', 'existential', 'arguments', 'ridiculous', 'democrats', 'making', 'allegations', 'existential', 'threat', 'opponents', 'pose', 'biden', 'recent', 'speech', 'exhibit']"
63,"['counter', 'terrorism', 'expert', 'director', 'uk', 'based', 'media', 'organization', 'milli', 'chronicle', 'speaks', '_ansari']"
64,"['hindus', 'need', 'call', 'lawmakers', 'participate', 'actively', 'policy', 'making', 'put', 'full', 'stop', 'hinduphobic', 'jiha']"
65,"['trump', 'process', 'democrats', 'halted', 'progress', 'democrats', 'need', 'violence', 'chaos', 'distraction', 'take', 'always', 'never', 'buy', 'anything', 'made', 'china', 'ever', 'trust', 'democrat', 'never', 'leave', 'child', 'alone', 'one']"
66,"['months', 'noticing', 'escalating', 'rhetoric', 'republicans', 'like', 'existential', 'threat', 'allegedly', 'posed', 'democrats', 'e', 'marxist', 'radical', 'liberal', 'socialist', 'communist', 'globalists', 'ludicrous']"
67,"['dear', 'theo', 'good', 'friend', 'nobody', 'accused', 'us', 'terrorism', 'called', 'us', 'ipob', 'either']"
68,"['oh', 'god', 'abigail', 'disney', 'grandniece', 'walt', 'disney', 'executive', 'director', 'jihad', 'rehab', 'called']"
